Order ID,Order Date,Month,Quarter,Year,Region,Country,City,Customer Segment,Product Category,Product Name,Sales Channel,Sales Amount,Cost,Profit,Profit Margin %,Quantity Sold,Discount %,Shipping Cost,Delivery Status
ORD-10016,2024-10-20,Oct,Q4,2024,Africa,Egypt,Cairo,Corporate,Office Supplies,Printer Paper,Online,4744.31,2913.41,1830.9,0.3859,29,0.3433,10.8,Delivered
ORD-10017,2024-12-11,Dec,Q4,2024,Asia-Pacific,Japan,Tokyo,Enterprise,Electronics,"Tablet 10""",Online,12992.01,8046.9,4945.11,0.3806,40,0.055,61.35,Delivered
ORD-10018,2024-05-30,May,Q2,2024,Europe,UK,London,Small Business,Electronics,Smart Speaker,Direct Sales,13288.3,11134.22,2154.08,0.1621,2,0.3985,105.83,Delivered
ORD-10019,2024-06-08,Jun,Q2,2024,Asia-Pacific,India,Mumbai,Consumer,Office Supplies,Sticky Notes,Direct Sales,21422.47,11342.11,10080.36,0.4706,33,0.2568,9.92,In Transit
ORD-10020,2025-02-25,Feb,Q1,2025,Latin America,Brazil,Rio de Janeiro,Small Business,Technology,Mechanical Keyboard,Online,4104.12,2696.2,1407.92,0.3431,18,0.1942,119.56,Delivered
ORD-10021,2024-06-09,Jun,Q2,2024,Latin America,Brazil,São Paulo,Corporate,Apparel,Uniform Shirt,Direct Sales,21245.66,14657.15,6588.51,0.3101,17,0.1232,30.26,Delivered
ORD-10022,2025-04-14,Apr,Q2,2025,Africa,Kenya,Nairobi,Corporate,Office Supplies,Sticky Notes,Retail Store,16163.07,9186.04,6977.03,0.4317,47,0.197,18.34,Delivered
ORD-10023,2025-10-20,Oct,Q4,2025,Latin America,Mexico,Mexico City,Enterprise,Technology,Laptop Pro,Direct Sales,23852.82,12055.45,11797.37,0.4946,6,0.1481,114.27,Delayed
ORD-10024,2025-05-11,May,Q2,2025,Africa,Kenya,Nairobi,Small Business,Electronics,"Tablet 10""",Direct Sales,9688.93,6490.11,3198.82,0.3302,23,0.1074,87.27,Delivered
ORD-10025,2025-07-19,Jul,Q3,2025,Europe,UK,London,Enterprise,Furniture,Standing Desk,Distributor,21946.59,12022.73,9923.86,0.4522,17,0.3395,241.78,Delivered
ORD-10026,2024-02-08,Feb,Q1,2024,Africa,Nigeria,Lagos,Small Business,Furniture,Bookshelf,Retail Store,22839.69,17801.33,5038.36,0.2206,7,0.2006,229.99,Delayed
ORD-10027,2025-05-26,May,Q2,2025,Latin America,Mexico,Mexico City,Small Business,Electronics,Smart Speaker,Retail Store,16833.45,14201.44,2632.01,0.1564,25,0.062,133.89,Delivered
ORD-10028,2025-07-23,Jul,Q3,2025,North America,Canada,Toronto,Corporate,Office Supplies,Ballpoint Pens,Online,19272.84,12720.9,6551.94,0.34,44,0.3861,20.13,Delivered
ORD-10029,2024-12-15,Dec,Q4,2024,Asia-Pacific,Australia,Sydney,Enterprise,Apparel,Branded Hoodie,Direct Sales,1122.58,592.12,530.46,0.4725,19,0.1756,15.76,In Transit
ORD-10030,2024-04-26,Apr,Q2,2024,North America,Canada,Toronto,Consumer,Technology,Wireless Mouse,Retail Store,6331.05,5236.51,1094.54,0.1729,48,0.0731,91.06,Delivered
ORD-10031,2024-07-07,Jul,Q3,2024,Africa,Nigeria,Lagos,Consumer,Office Supplies,Ballpoint Pens,Retail Store,18970.37,9790.63,9179.74,0.4839,29,0.0464,8.11,Delivered
ORD-10032,2025-03-28,Mar,Q1,2025,Latin America,Argentina,Buenos Aires,Corporate,Furniture,Meeting Table,Distributor,11670.38,8350.71,3319.67,0.2845,37,0.1594,227.02,Delivered
ORD-10033,2024-06-28,Jun,Q2,2024,Europe,Germany,Munich,Small Business,Furniture,Office Chair,Direct Sales,4157.07,3452.4,704.67,0.1695,24,0.3776,273.44,Delivered
ORD-10034,2024-06-08,Jun,Q2,2024,Asia-Pacific,Australia,Sydney,Enterprise,Electronics,Smart Speaker,Distributor,11510.5,7310.73,4199.77,0.3649,43,0.3766,146.12,Delivered
ORD-10035,2024-02-12,Feb,Q1,2024,Latin America,Brazil,São Paulo,Consumer,Electronics,Smart Speaker,Online,17106.87,10860.96,6245.91,0.3651,17,0.2623,118.16,Delivered
ORD-10036,2025-02-21,Feb,Q1,2025,Asia-Pacific,India,Mumbai,Small Business,Electronics,Smart Speaker,Online,23422.54,19643.39,3779.15,0.1613,36,0.1672,104.8,Delivered
ORD-10037,2025-04-01,Apr,Q2,2025,Asia-Pacific,India,Mumbai,Small Business,Electronics,Smart Speaker,Online,8586.01,5582.18,3003.83,0.3499,32,0.3434,125.09,In Transit
ORD-10038,2024-08-04,Aug,Q3,2024,Asia-Pacific,India,Mumbai,Corporate,Technology,Laptop Pro,Retail Store,9801.49,6235.91,3565.58,0.3638,13,0.3582,40.87,Delivered
ORD-10039,2024-08-20,Aug,Q3,2024,Asia-Pacific,Australia,Sydney,Consumer,Electronics,LED Monitor,Distributor,2173.78,1336.95,836.83,0.385,5,0.1173,117.25,Delivered
ORD-10040,2025-04-28,Apr,Q2,2025,Africa,Kenya,Nairobi,Enterprise,Technology,Webcam 4K,Online,1533.21,1162.12,371.09,0.242,31,0.0223,83.67,Delivered
ORD-10041,2025-10-19,Oct,Q4,2025,Latin America,Brazil,São Paulo,Corporate,Furniture,Filing Cabinet,Online,2194.26,1401.75,792.51,0.3612,13,0.089,278.38,Delivered
ORD-10042,2024-07-12,Jul,Q3,2024,Africa,South Africa,Johannesburg,Consumer,Office Supplies,Whiteboard,Online,5993.46,4577.1,1416.36,0.2363,7,0.3944,13.14,Delayed
ORD-10043,2025-02-18,Feb,Q1,2025,Asia-Pacific,Singapore,Singapore,Enterprise,Office Supplies,Stapler Set,Retail Store,10917.85,7249.79,3668.06,0.336,45,0.0045,8.34,Delivered
ORD-10044,2025-04-20,Apr,Q2,2025,Africa,Kenya,Nairobi,Consumer,Technology,Mechanical Keyboard,Online,10065.55,6894.19,3171.36,0.3151,49,0.0332,74.91,Delivered
ORD-10045,2024-02-27,Feb,Q1,2024,Latin America,Brazil,São Paulo,Enterprise,Apparel,Work Boots,Distributor,13239.76,7792.22,5447.54,0.4115,11,0.3676,35.86,Delayed
ORD-10046,2025-03-16,Mar,Q1,2025,Europe,Germany,Berlin,Consumer,Technology,Webcam 4K,Retail Store,22538.83,18766.82,3772.01,0.1674,11,0.1124,111.22,Delivered
ORD-10047,2025-02-11,Feb,Q1,2025,Latin America,Brazil,São Paulo,Enterprise,Furniture,Filing Cabinet,Direct Sales,8898.47,5571.52,3326.95,0.3739,50,0.1064,151.99,Delivered
ORD-10048,2025-05-16,May,Q2,2025,North America,USA,New York,Consumer,Apparel,Uniform Shirt,Online,4149.16,3440.43,708.73,0.1708,46,0.0305,27.5,Delivered
ORD-10049,2025-12-09,Dec,Q4,2025,North America,USA,Los Angeles,Corporate,Furniture,Bookshelf,Online,10340.25,8735.96,1604.29,0.1552,1,0.1921,175.35,Delivered
ORD-10050,2024-10-08,Oct,Q4,2024,North America,USA,Chicago,Small Business,Technology,Webcam 4K,Online,10429.01,5489.58,4939.43,0.4736,1,0.0055,95.34,Delivered
ORD-10051,2025-12-09,Dec,Q4,2025,Africa,Nigeria,Lagos,Small Business,Apparel,Work Boots,Online,21256.22,12153.58,9102.64,0.4282,17,0.0964,22.54,Delayed
ORD-10052,2025-11-15,Nov,Q4,2025,Africa,Egypt,Cairo,Corporate,Technology,Laptop Pro,Direct Sales,9018.25,6081.53,2936.72,0.3256,8,0.0089,78.1,Delivered
ORD-10053,2024-11-01,Nov,Q4,2024,Latin America,Brazil,São Paulo,Corporate,Electronics,Noise Cancelling Headphones,Retail Store,10146.72,6566.83,3579.89,0.3528,48,0.192,128.47,Delayed
ORD-10054,2025-07-31,Jul,Q3,2025,Asia-Pacific,Japan,Tokyo,Small Business,Electronics,Smart Speaker,Retail Store,15952.44,13024.46,2927.98,0.1835,15,0.175,84.83,Delivered
ORD-10055,2024-06-14,Jun,Q2,2024,North America,Canada,Toronto,Corporate,Furniture,Bookshelf,Online,3762.13,2221.11,1541.02,0.4096,17,0.1968,191.83,Delayed
ORD-10056,2025-06-29,Jun,Q2,2025,Africa,Nigeria,Lagos,Consumer,Office Supplies,Sticky Notes,Direct Sales,13477.86,7455.49,6022.37,0.4468,23,0.0512,9.58,Delivered
ORD-10057,2025-06-03,Jun,Q2,2025,Latin America,Argentina,Buenos Aires,Enterprise,Technology,Mechanical Keyboard,Direct Sales,16722.19,9671.23,7050.96,0.4217,50,0.2408,105.74,Delivered
ORD-10058,2025-04-10,Apr,Q2,2025,Latin America,Brazil,Rio de Janeiro,Consumer,Apparel,Corporate Polo,Online,5237.71,3223.99,2013.72,0.3845,34,0.0515,24.65,Delivered
ORD-10059,2024-09-05,Sep,Q3,2024,North America,USA,Chicago,Small Business,Apparel,Corporate Polo,Retail Store,2204.47,1263.76,940.71,0.4267,35,0.0738,26.11,Delayed
ORD-10060,2025-12-26,Dec,Q4,2025,Europe,France,Paris,Small Business,Furniture,Meeting Table,Retail Store,6385.68,5080.15,1305.53,0.2044,7,0.2749,249.92,Delivered
ORD-10061,2025-05-22,May,Q2,2025,Africa,Nigeria,Lagos,Corporate,Office Supplies,Sticky Notes,Distributor,18461.39,11311.81,7149.58,0.3873,28,0.008,10.67,Delivered
ORD-10062,2025-04-18,Apr,Q2,2025,Latin America,Brazil,São Paulo,Consumer,Apparel,Uniform Shirt,Online,19750.36,13913.53,5836.83,0.2955,45,0.1918,37.1,Delivered
ORD-10063,2025-09-14,Sep,Q3,2025,North America,Canada,Toronto,Small Business,Furniture,Office Chair,Online,16183.34,10913.83,5269.51,0.3256,34,0.0977,166.07,Delivered
ORD-10064,2025-01-11,Jan,Q1,2025,North America,Canada,Vancouver,Corporate,Apparel,Uniform Shirt,Retail Store,7198.87,5721.73,1477.14,0.2052,31,0.0223,16.55,Delivered
ORD-10065,2025-06-26,Jun,Q2,2025,Africa,Egypt,Cairo,Enterprise,Furniture,Filing Cabinet,Direct Sales,231.97,174.68,57.29,0.247,49,0.1963,264.17,Delayed
ORD-10066,2024-07-12,Jul,Q3,2024,Asia-Pacific,India,Bengaluru,Small Business,Apparel,Uniform Shirt,Online,8159.61,6182.43,1977.18,0.2423,19,0.0798,30.9,Delivered
ORD-10067,2024-01-01,Jan,Q1,2024,Europe,Netherlands,Amsterdam,Corporate,Office Supplies,Ballpoint Pens,Online,1390.41,962.18,428.23,0.308,50,0.1817,15.73,Delivered
ORD-10068,2024-01-13,Jan,Q1,2024,Europe,France,Paris,Consumer,Apparel,Corporate Polo,Online,11881.84,7391.74,4490.1,0.3779,38,0.1647,42.89,Delivered
ORD-10069,2024-11-13,Nov,Q4,2024,Latin America,Argentina,Buenos Aires,Corporate,Apparel,Safety Vest,Online,9542.79,6690.12,2852.67,0.2989,1,0.2964,40.25,Delivered
ORD-10070,2024-08-16,Aug,Q3,2024,Latin America,Brazil,Rio de Janeiro,Small Business,Apparel,Work Boots,Online,15880.59,11210.22,4670.37,0.2941,4,0.1265,35.49,Delivered
ORD-10071,2024-10-21,Oct,Q4,2024,Asia-Pacific,Singapore,Singapore,Corporate,Technology,Laptop Pro,Online,9847.9,8048.35,1799.55,0.1827,2,0.2174,89.94,Delivered
ORD-10072,2024-07-16,Jul,Q3,2024,Asia-Pacific,Japan,Tokyo,Enterprise,Furniture,Filing Cabinet,Distributor,12436.05,9650.49,2785.56,0.224,30,0.3576,130.33,Delayed
ORD-10073,2024-04-06,Apr,Q2,2024,Africa,South Africa,Johannesburg,Small Business,Technology,USB Hub,Retail Store,12400.14,9764.37,2635.77,0.2126,10,0.1368,48.85,In Transit
ORD-10074,2024-08-15,Aug,Q3,2024,Africa,Egypt,Cairo,Enterprise,Apparel,Work Boots,Online,18084.09,12829.85,5254.24,0.2905,2,0.0049,31.97,Delivered
ORD-10075,2024-10-09,Oct,Q4,2024,Africa,Egypt,Cairo,Small Business,Furniture,Standing Desk,Retail Store,22805.12,16283.06,6522.06,0.286,40,0.2024,103.62,Delivered
ORD-10076,2025-11-13,Nov,Q4,2025,Latin America,Argentina,Buenos Aires,Enterprise,Electronics,Noise Cancelling Headphones,Direct Sales,16319.04,11624.87,4694.17,0.2876,49,0.2305,92.41,Delivered
ORD-10077,2024-01-29,Jan,Q1,2024,North America,USA,Chicago,Small Business,Technology,Webcam 4K,Online,4739.39,3812.67,926.72,0.1955,23,0.3683,81.51,Delivered
ORD-10078,2025-10-22,Oct,Q4,2025,North America,Canada,Vancouver,Consumer,Furniture,Filing Cabinet,Online,8404.13,6916.9,1487.23,0.177,25,0.3454,193.14,Delivered
ORD-10079,2025-04-19,Apr,Q2,2025,Europe,UK,London,Consumer,Office Supplies,Sticky Notes,Direct Sales,6280.84,4061.34,2219.5,0.3534,25,0.1993,21.22,Delayed
ORD-10080,2024-06-25,Jun,Q2,2024,Africa,Kenya,Nairobi,Small Business,Furniture,Filing Cabinet,Retail Store,4533.1,3150.76,1382.34,0.3049,20,0.1836,272.13,Delivered
ORD-10081,2024-03-03,Mar,Q1,2024,Africa,Egypt,Cairo,Consumer,Technology,Webcam 4K,Retail Store,5326.65,3536.26,1790.39,0.3361,19,0.1398,90.0,In Transit
ORD-10082,2025-04-21,Apr,Q2,2025,Asia-Pacific,India,Bengaluru,Consumer,Office Supplies,Stapler Set,Retail Store,12079.09,6695.85,5383.24,0.4457,30,0.2239,10.23,Delivered
ORD-10083,2024-02-24,Feb,Q1,2024,Asia-Pacific,India,Bengaluru,Corporate,Office Supplies,Stapler Set,Direct Sales,24475.39,17882.29,6593.1,0.2694,32,0.2864,7.91,In Transit
ORD-10084,2025-03-18,Mar,Q1,2025,Africa,Egypt,Cairo,Corporate,Technology,Webcam 4K,Distributor,13962.37,8169.53,5792.84,0.4149,8,0.0398,97.78,Delayed
ORD-10085,2024-04-29,Apr,Q2,2024,Asia-Pacific,Australia,Sydney,Enterprise,Apparel,Work Boots,Retail Store,22418.76,16983.7,5435.06,0.2424,7,0.2533,40.44,Delivered
ORD-10086,2025-09-15,Sep,Q3,2025,Africa,Kenya,Nairobi,Enterprise,Apparel,Uniform Shirt,Retail Store,20454.34,16134.13,4320.21,0.2112,20,0.1343,25.89,Delayed
ORD-10087,2024-04-28,Apr,Q2,2024,Latin America,Argentina,Buenos Aires,Consumer,Apparel,Corporate Polo,Retail Store,5565.81,3005.44,2560.37,0.46,22,0.3119,31.97,Delayed
ORD-10088,2024-02-28,Feb,Q1,2024,North America,USA,Los Angeles,Small Business,Technology,Laptop Pro,Direct Sales,10123.5,8020.1,2103.4,0.2078,9,0.0557,118.75,Delivered
ORD-10089,2025-03-17,Mar,Q1,2025,Africa,South Africa,Johannesburg,Corporate,Apparel,Safety Vest,Retail Store,3032.0,1587.29,1444.71,0.4765,36,0.1992,27.16,Delayed
ORD-10090,2025-01-12,Jan,Q1,2025,Latin America,Mexico,Mexico City,Consumer,Furniture,Meeting Table,Distributor,21859.86,15773.73,6086.13,0.2784,40,0.1003,198.85,Delayed
ORD-10091,2025-11-15,Nov,Q4,2025,North America,USA,Los Angeles,Consumer,Electronics,Smart Speaker,Retail Store,4240.46,2254.3,1986.16,0.4684,43,0.0737,127.1,Delivered
ORD-10092,2024-01-29,Jan,Q1,2024,Africa,Kenya,Nairobi,Enterprise,Office Supplies,Ballpoint Pens,Online,15299.08,12758.37,2540.71,0.1661,34,0.1587,9.53,In Transit
ORD-10093,2024-11-07,Nov,Q4,2024,North America,USA,Los Angeles,Enterprise,Electronics,Portable Charger,Distributor,21175.56,15207.58,5967.98,0.2818,45,0.0619,97.42,In Transit
ORD-10094,2024-03-13,Mar,Q1,2024,North America,USA,New York,Consumer,Technology,Webcam 4K,Distributor,11546.07,9003.57,2542.5,0.2202,35,0.3276,95.58,Delivered
ORD-10095,2025-04-22,Apr,Q2,2025,Europe,France,Paris,Small Business,Apparel,Uniform Shirt,Distributor,3506.78,2393.22,1113.56,0.3175,10,0.2762,17.6,Delayed
ORD-10096,2025-08-14,Aug,Q3,2025,Asia-Pacific,Singapore,Singapore,Consumer,Apparel,Corporate Polo,Retail Store,5608.12,4119.0,1489.12,0.2655,26,0.0206,16.32,Delivered
ORD-10097,2024-01-16,Jan,Q1,2024,North America,USA,Los Angeles,Consumer,Furniture,Meeting Table,Distributor,23117.47,17993.94,5123.53,0.2216,50,0.1687,249.01,Delivered
ORD-10098,2025-01-06,Jan,Q1,2025,Asia-Pacific,India,Bengaluru,Small Business,Furniture,Office Chair,Retail Store,5827.22,4333.71,1493.51,0.2563,45,0.0308,167.97,Delivered
ORD-10099,2024-07-01,Jul,Q3,2024,Latin America,Mexico,Mexico City,Small Business,Technology,USB Hub,Online,18472.61,13218.12,5254.49,0.2844,33,0.3544,58.64,Delivered
ORD-10100,2024-11-06,Nov,Q4,2024,Asia-Pacific,India,Bengaluru,Corporate,Office Supplies,Whiteboard,Online,23321.49,12090.78,11230.71,0.4816,39,0.0038,8.83,Delivered
ORD-10101,2024-11-13,Nov,Q4,2024,Africa,Egypt,Cairo,Consumer,Electronics,"Tablet 10""",Retail Store,8475.62,4946.13,3529.49,0.4164,20,0.295,61.05,Delivered
ORD-10102,2024-05-21,May,Q2,2024,Europe,France,Paris,Corporate,Apparel,Corporate Polo,Direct Sales,24694.29,15732.0,8962.29,0.3629,9,0.0438,18.73,Delivered
ORD-10103,2024-07-05,Jul,Q3,2024,Europe,Netherlands,Amsterdam,Consumer,Apparel,Safety Vest,Direct Sales,21990.05,17950.55,4039.5,0.1837,46,0.2403,44.68,Delivered
ORD-10104,2025-12-11,Dec,Q4,2025,Latin America,Argentina,Buenos Aires,Small Business,Electronics,Noise Cancelling Headphones,Distributor,20783.0,11675.57,9107.43,0.4382,46,0.0923,72.05,Delivered
ORD-10105,2025-05-20,May,Q2,2025,Asia-Pacific,Singapore,Singapore,Consumer,Technology,Laptop Pro,Distributor,13173.28,8851.33,4321.95,0.3281,42,0.2061,119.71,Delivered
ORD-10106,2024-01-03,Jan,Q1,2024,Asia-Pacific,Singapore,Singapore,Enterprise,Apparel,Corporate Polo,Online,21517.16,12758.82,8758.34,0.407,11,0.351,18.89,Delayed
ORD-10107,2025-10-10,Oct,Q4,2025,Asia-Pacific,India,Mumbai,Corporate,Electronics,Smart Speaker,Online,23296.58,14978.74,8317.84,0.357,11,0.0348,87.27,Delivered
ORD-10108,2024-11-23,Nov,Q4,2024,Asia-Pacific,Singapore,Singapore,Enterprise,Furniture,Standing Desk,Retail Store,2825.77,2254.75,571.02,0.2021,28,0.0305,199.03,Returned
ORD-10109,2024-08-11,Aug,Q3,2024,Africa,Kenya,Nairobi,Corporate,Office Supplies,Stapler Set,Direct Sales,6749.0,5425.23,1323.77,0.1961,6,0.2085,11.18,Delivered
ORD-10110,2025-07-24,Jul,Q3,2025,Asia-Pacific,India,Mumbai,Consumer,Office Supplies,Whiteboard,Online,2735.27,1519.47,1215.8,0.4445,27,0.3011,20.71,Delayed
ORD-10111,2024-01-31,Jan,Q1,2024,Europe,Germany,Munich,Enterprise,Office Supplies,Whiteboard,Retail Store,127.89,86.66,41.23,0.3224,2,0.3329,7.6,Delayed
ORD-10112,2024-08-11,Aug,Q3,2024,Africa,Nigeria,Lagos,Small Business,Technology,Laptop Pro,Online,9479.71,5166.03,4313.68,0.455,24,0.3275,62.67,Delivered
ORD-10113,2025-03-30,Mar,Q1,2025,Europe,Germany,Berlin,Enterprise,Furniture,Filing Cabinet,Direct Sales,18867.1,13975.99,4891.11,0.2592,22,0.3749,113.57,Delivered
ORD-10114,2025-12-31,Dec,Q4,2025,North America,Canada,Toronto,Corporate,Technology,Wireless Mouse,Retail Store,15560.8,13082.29,2478.51,0.1593,18,0.3486,117.51,Delivered
ORD-10115,2025-11-06,Nov,Q4,2025,Asia-Pacific,Japan,Tokyo,Enterprise,Apparel,Uniform Shirt,Distributor,20555.67,15820.52,4735.15,0.2304,47,0.1955,35.5,Delivered
ORD-10116,2025-06-21,Jun,Q2,2025,Europe,Germany,Munich,Consumer,Electronics,"Tablet 10""",Distributor,4174.23,2409.66,1764.57,0.4227,29,0.2775,58.24,Delivered
ORD-10117,2024-03-24,Mar,Q1,2024,Asia-Pacific,Japan,Tokyo,Small Business,Technology,USB Hub,Direct Sales,23596.04,19763.62,3832.42,0.1624,16,0.3429,100.81,Delivered
ORD-10118,2025-03-28,Mar,Q1,2025,Asia-Pacific,Japan,Tokyo,Consumer,Furniture,Filing Cabinet,Retail Store,5406.31,3400.48,2005.83,0.371,49,0.2607,272.87,Delivered
ORD-10119,2024-07-26,Jul,Q3,2024,Asia-Pacific,Australia,Sydney,Corporate,Technology,Laptop Pro,Online,19295.95,9768.61,9527.34,0.4937,46,0.2121,103.74,In Transit
ORD-10120,2025-11-23,Nov,Q4,2025,Latin America,Brazil,Rio de Janeiro,Small Business,Electronics,"Tablet 10""",Retail Store,3217.13,2237.34,979.79,0.3046,44,0.099,72.55,Delivered
ORD-10121,2025-12-26,Dec,Q4,2025,Africa,South Africa,Johannesburg,Corporate,Office Supplies,Whiteboard,Online,1903.93,1351.8,552.13,0.29,18,0.192,11.87,Delivered
ORD-10122,2024-10-27,Oct,Q4,2024,North America,USA,New York,Enterprise,Technology,Mechanical Keyboard,Retail Store,3733.46,2052.93,1680.53,0.4501,12,0.3947,79.91,In Transit
ORD-10123,2024-03-26,Mar,Q1,2024,Latin America,Argentina,Buenos Aires,Consumer,Furniture,Standing Desk,Direct Sales,13402.63,6857.07,6545.56,0.4884,41,0.1403,115.72,Delivered
ORD-10124,2024-04-12,Apr,Q2,2024,Europe,Germany,Munich,Corporate,Furniture,Standing Desk,Distributor,4270.32,2320.82,1949.5,0.4565,49,0.3806,279.24,Delivered
ORD-10125,2024-01-09,Jan,Q1,2024,North America,USA,New York,Corporate,Electronics,Smart Speaker,Direct Sales,8552.31,5931.46,2620.85,0.3064,7,0.2643,109.75,In Transit
ORD-10126,2024-01-22,Jan,Q1,2024,Europe,UK,London,Small Business,Technology,USB Hub,Retail Store,18148.18,10087.5,8060.68,0.4442,12,0.0988,109.74,Delivered
ORD-10127,2024-05-01,May,Q2,2024,Asia-Pacific,Australia,Sydney,Consumer,Apparel,Work Boots,Distributor,4125.65,2392.71,1732.94,0.42,6,0.2877,44.89,Delivered
ORD-10128,2024-02-28,Feb,Q1,2024,Asia-Pacific,Australia,Sydney,Corporate,Office Supplies,Sticky Notes,Online,863.25,484.26,378.99,0.439,33,0.3362,21.91,Delivered
ORD-10129,2024-01-24,Jan,Q1,2024,Latin America,Brazil,São Paulo,Enterprise,Electronics,LED Monitor,Retail Store,1098.72,775.5,323.22,0.2942,49,0.2056,52.94,Returned
ORD-10130,2025-05-26,May,Q2,2025,Latin America,Brazil,Rio de Janeiro,Small Business,Furniture,Filing Cabinet,Retail Store,24804.12,16445.99,8358.13,0.337,12,0.1535,267.2,Delivered
ORD-10131,2025-06-03,Jun,Q2,2025,Latin America,Argentina,Buenos Aires,Corporate,Furniture,Filing Cabinet,Retail Store,4606.33,3007.97,1598.36,0.347,5,0.0277,119.48,Returned
ORD-10132,2025-01-15,Jan,Q1,2025,North America,Canada,Toronto,Corporate,Technology,Mechanical Keyboard,Online,6527.52,4608.07,1919.45,0.2941,37,0.0036,87.9,Returned
ORD-10133,2025-11-06,Nov,Q4,2025,Africa,Kenya,Nairobi,Small Business,Office Supplies,Stapler Set,Distributor,8339.15,6588.84,1750.31,0.2099,29,0.1348,13.96,Delivered
ORD-10134,2024-10-02,Oct,Q4,2024,Asia-Pacific,Australia,Sydney,Consumer,Technology,USB Hub,Direct Sales,18436.41,14262.9,4173.51,0.2264,37,0.2134,96.43,Delivered
ORD-10135,2024-06-04,Jun,Q2,2024,Latin America,Mexico,Mexico City,Consumer,Electronics,Smart Speaker,Retail Store,13326.12,9648.12,3678.0,0.276,20,0.0207,72.47,Delivered
ORD-10136,2025-04-29,Apr,Q2,2025,Africa,Kenya,Nairobi,Consumer,Technology,Laptop Pro,Distributor,3793.75,1903.43,1890.32,0.4983,50,0.386,116.14,Delivered
ORD-10137,2024-11-01,Nov,Q4,2024,Africa,South Africa,Johannesburg,Small Business,Office Supplies,Stapler Set,Distributor,3577.32,2965.37,611.95,0.1711,45,0.0574,18.49,Delivered
ORD-10138,2024-01-08,Jan,Q1,2024,Europe,Netherlands,Amsterdam,Consumer,Apparel,Work Boots,Distributor,17346.39,8779.54,8566.85,0.4939,26,0.1497,22.32,Delivered
ORD-10139,2025-06-21,Jun,Q2,2025,North America,Canada,Toronto,Small Business,Technology,USB Hub,Online,23527.8,17126.63,6401.17,0.2721,14,0.1575,48.53,Delivered
